label,index,low,normal,winner,best_step,identity_best_step,selected_best_step,identity_final_mse,selected_final_mse,identity_updates,selected_updates,active_count,dark_active_count,reproduction_max_abs,grid_max_abs,seconds,ev_lower_active_count,ev_lower_all_count,ev_upper_active_count,ev_upper_all_count,ev_either_active_count,ev_either_all_count,gamma_lower_active_count,gamma_lower_all_count,gamma_upper_active_count,gamma_upper_all_count,gamma_either_active_count,gamma_either_all_count,raw_mse,raw_psnr,raw_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,delta_psnr,delta_ssim
REFERENCE_ORACLE_ONLY,35,Train/Low/low00465.png,Train/Normal/normal00465.png,identity,7,7,14,0.04530793296212208,0.04530793296212208,500,500,4,0,0.0,0.0,11.903512487944681,0,0,4,4,4,4,4,4,0,0,4,4,0.05345874513464185,12.71981239883575,0.17221364589646335,0.05817212943277942,12.352850382477216,0.1674581779294247,0.04530793296212207,13.438257507455871,0.13759732784796,1.085407124978655,-0.02986085008146469
REFERENCE_ORACLE_ONLY,36,Train/Low/low00293.png,Train/Normal/normal00293.png,identity,319,319,293,0.09386586344991635,0.09386586350252643,500,500,4,1,0.0,0.0,11.762498247029725,0,0,3,3,3,3,4,4,0,0,4,4,0.14285547716924754,8.45103103837209,0.10285221776240284,0.1511059407351164,8.207184610232387,0.09208969796947289,0.09386586306261446,10.274923223138575,0.08821672405410821,2.0677386129061883,-0.0038729739153646747
REFERENCE_ORACLE_ONLY,37,Train/Low/low00563.png,Train/Normal/normal00563.png,T022C_selected,500,500,500,0.006408025422656148,0.006399127239307223,500,500,4,4,0.0,0.0,11.856882070016582,0,0,0,0,0,0,4,4,0,0,4,4,0.10179430751202019,9.922765077089027,0.18263317242447444,0.021760505020273522,16.623310297012047,0.5667995165942358,0.0063991272393072235,21.938792542972912,0.5975548764826085,5.315482245960865,0.030755359888372746
REFERENCE_ORACLE_ONLY,38,Train/Low/low00515.png,Train/Normal/normal00515.png,T022C_selected,500,500,500,0.07148550816619693,0.0714609294675345,500,500,4,4,0.0,0.0,11.86237440496916,0,0,0,0,0,0,4,4,0,0,4,4,0.11014934817272622,9.58018068516171,0.11060656499319797,0.08589241091953673,10.660452068482588,0.19300936505035723,0.07146092946753448,11.459313393790843,0.24834124933594356,0.7988613253082555,0.05533188428558633
REFERENCE_ORACLE_ONLY,39,Train/Low/low00476.png,Train/Normal/normal00476.png,T022C_selected,500,500,500,0.015734042774022527,0.015690696781057556,500,500,4,4,0.0,0.0,11.756860360968858,0,0,0,0,0,0,4,4,0,0,4,4,0.07677530569556604,11.147784456548946,0.16674336938397394,0.03471042821538636,14.595400284941826,0.5401896003438863,0.01569069678105756,18.04357770151158,0.6457411755472674,3.448177416569754,0.1055515752033811
REFERENCE_ORACLE_ONLY,40,Train/Low/low00219.png,Train/Normal/normal00219.png,T022C_selected,500,500,500,0.08776210649778428,0.08765968279791718,500,500,4,4,0.0,0.0,11.741107486013789,0,0,0,0,0,0,4,4,0,0,4,4,0.24855335774795,6.045803655301867,0.12968273791190765,0.14896569546889565,8.269137314793596,0.33421886937255046,0.08765968279791723,10.572001052011498,0.3878390506155066,2.3028637372179013,0.053620181242956144
REFERENCE_ORACLE_ONLY,41,Train/Low/low00084.png,Train/Normal/normal00084.png,T022C_selected,500,500,500,0.007972964806100366,0.007798945242337209,500,500,4,4,0.0,0.0,11.910874052962754,0,0,0,0,0,0,4,4,0,0,4,4,0.18732182508647574,7.27411619515176,0.2880995073584566,0.052136498993589894,12.828581354004127,0.6656566037250538,0.007798945242337208,21.079641289001852,0.697628954477029,8.251059934997725,0.03197235075197524
REFERENCE_ORACLE_ONLY,42,Train/Low/low00100.png,Train/Normal/normal00100.png,T022C_selected,500,500,500,0.043897170402996864,0.04381508821360469,500,500,4,4,0.0,0.0,11.873730855993927,0,0,0,0,0,0,4,4,0,0,4,4,0.17231667183334654,7.636727020357107,0.09331044217194855,0.09476112782953426,10.23369779025376,0.31158259312558767,0.04381508821360468,13.583763095979933,0.41129538846416247,3.3500653057261722,0.0997127953385748
REFERENCE_ORACLE_ONLY,43,Train/Low/low00561.png,Train/Normal/normal00561.png,T022C_selected,500,500,500,0.007196874639451139,0.007150584963300473,500,500,4,4,0.0,0.0,11.893227421969641,0,0,0,0,0,0,4,4,0,0,4,4,0.08162970965551666,10.881517482173654,0.15025237522370855,0.033345771224371636,14.769592337224422,0.5044284647576458,0.007150584963300471,21.456584286965523,0.591348731042555,6.686991949741101,0.08692026628490923
REFERENCE_ORACLE_ONLY,44,Train/Low/low00510.png,Train/Normal/normal00510.png,T022C_selected,500,500,500,0.09724401531789532,0.09718403206184964,500,500,4,4,0.0,0.0,11.762853322958108,0,0,0,0,0,0,4,4,0,0,4,4,0.18678843022032507,7.286500277155751,0.08377541679275002,0.13059952508398673,8.840584023394973,0.2360866152975608,0.09718403206184965,10.12405086484313,0.33329253156702393,1.283466841448158,0.09720591626946312
REFERENCE_ORACLE_ONLY,45,Train/Low/low00562.png,Train/Normal/normal00562.png,T022C_selected,500,500,500,0.08230798520698461,0.08217420277858013,500,500,3,3,0.0,0.0,11.716803443036042,0,1,0,1,0,1,3,4,0,1,3,4,0.22791230759051467,6.422322216633216,0.11856704473373052,0.12157445321019338,9.151576750259153,0.3917615762265994,0.08217420277858015,10.852645005781662,0.4646665692228119,1.7010682555225092,0.0729049929962125
