index,low,snr_psnr,snr_ssim,ours_psnr,ours_ssim,delta_psnr,delta_ssim,seconds
71,Train/Low/low00493.png,23.673636400739287,0.7601083043409594,14.901058124290078,0.45765642812887436,8.77257827644921,0.3024518762120851,0.019434409972745925
72,Train/Low/low00298.png,26.09501845329932,0.8413126846157967,10.590856413578873,0.1029933037441443,15.504162039720448,0.7383193808716524,0.019466609985101968
73,Train/Low/low00398.png,18.61964730760153,0.6149991639232228,6.218838528236433,0.07022475706712576,12.400808779365097,0.5447744068560971,0.019489119003992528
74,Train/Low/low00659.png,25.9213047121928,0.8609184213794958,13.698152156382546,0.6308405307868187,12.223152555810254,0.23007789059267714,0.019439491035882384
75,Train/Low/low00464.png,18.527653450411897,0.8269623591325714,14.255680285558785,0.7799291916782071,4.271973164853112,0.047033167454364366,0.01946698600659147
76,Train/Low/low00405.png,23.213743208907065,0.7076054628605789,8.466931274812428,0.13956472625430363,14.746811934094637,0.5680407366062753,0.019403337966650724
77,Train/Low/low00650.png,22.834753812451112,0.8374399609284939,9.490707541226396,0.39762398617554023,13.344046271224716,0.4398159747529537,0.01942081400193274
78,Train/Low/low00621.png,24.25320662870909,0.8486340189145763,15.161855070121815,0.6295835457119429,9.091351558587276,0.2190504732026335,0.019443618948571384
79,Train/Low/low00596.png,25.386073559380485,0.905560015103153,8.329111820943682,0.2537386311239323,17.056961738436804,0.6518213839792206,0.01944845198886469
80,Train/Low/low00378.png,23.62240880214076,0.7402484464090726,7.6993432288599175,0.12480976610864147,15.923065573280844,0.6154386803004311,0.019492501043714583
81,Train/Low/low00058.png,20.237110971378254,0.885273864062217,10.136487058565809,0.5927159620390468,10.100623912812445,0.2925579020231702,0.01949192601023242
82,Train/Low/low00092.png,15.539289839487093,0.8973850702297208,8.978530991601096,0.6245918474911294,6.560758847885998,0.2727932227385914,0.01945766800781712
83,Train/Low/low00266.png,21.052186590247036,0.8191062356309986,15.577468083796106,0.357705692336545,5.47471850645093,0.4614005432944536,0.019471245992463082
84,Train/Low/low00180.png,31.898206436582498,0.9163258174327766,6.795678206758497,0.12298092035767437,25.102528229824003,0.7933448970751023,0.019415503018535674
85,Train/Low/low00679.png,24.93088021873268,0.8694891604464355,10.907994894197309,0.4648547911682038,14.02288532453537,0.40463436927823176,0.01943274401128292
86,Train/Low/low00408.png,20.76362977697618,0.6754334362212463,6.818414772224971,0.08600244334594222,13.94521500475121,0.5894309928753041,0.019456215028185397
87,Train/Low/low00623.png,16.42559803983572,0.8540139131107108,9.89387513501321,0.5149359418417887,6.531722904822509,0.33907797126892214,0.019431232998613268
88,Train/Low/low00646.png,26.45770102113193,0.8701345207621864,13.84647241135275,0.665167218207579,12.611228609779179,0.2049673025546075,0.019504488969687372
89,Train/Low/low00104.png,19.363265554798048,0.7487467010333041,9.923449380633155,0.21916169004573974,9.439816174164893,0.5295850109875644,0.019426467013545334
90,Train/Low/low00399.png,23.647075288186766,0.7531983937773441,11.441747557038706,0.2595660589519769,12.20532773114806,0.4936323348253672,0.01939505396876484
91,Train/Low/low00638.png,24.08325842638891,0.7296974092752992,11.389850497480598,0.4436620163063766,12.69340792890831,0.28603539296892266,0.019441309035755694
92,Train/Low/low00533.png,16.44092009915893,0.8507819187419371,6.604730411800284,0.4018403793055413,9.836189687358647,0.4489415394363958,0.019467572041321546
93,Train/Low/low00142.png,27.04419721165027,0.9242207528396372,6.8012232996622135,0.20756312846574793,20.24297391198806,0.7166576243738894,0.01951648498652503
94,Train/Low/low00182.png,25.07688990703417,0.7703418842339426,6.693886395004692,0.06288647628868554,18.38300351202948,0.7074554079452571,0.019466500030830503
95,Train/Low/low00477.png,26.46798460672345,0.8935538629840204,11.50614028024658,0.5594447438071779,14.961844326476871,0.3341091191768425,0.019462592026684433
96,Train/Low/low00036.png,22.660523342220344,0.8844357288402419,9.207179784206836,0.47074027485029196,13.453343558013508,0.41369545398994995,0.01951639901380986
97,Train/Low/low00594.png,30.00873130840127,0.9246581548060517,11.936234861879223,0.5839551738949487,18.072496446522045,0.34070298091110307,0.019465259043499827
98,Train/Low/low00192.png,20.892438190866784,0.7061749581727617,7.34944967965159,0.07538677543825491,13.542988511215194,0.6307881827345068,0.01949402701575309
99,Train/Low/low00668.png,25.07373311283065,0.9034393106701075,11.08568594982847,0.5332893680141615,13.988047163002179,0.37014994265594603,0.01943178300280124
