image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,type,active
42070,evaluation,clean,full,0.01896710693836212,0.0044898539781570435,0.00232812506146729,dark,False
42070,evaluation,clean,top_left,0.010425373911857605,0.0033136457204818726,0.0006249999860301614,dark,False
42070,evaluation,clean,top_right,0.006201073527336121,0.02177572250366211,0.0031458332668989897,bright,False
42070,evaluation,clean,bottom_left,0.0059391409158706665,0.008579164743423462,0.0018645833479240537,bright,False
42070,evaluation,clean,bottom_right,0.0009632706642150879,-0.01222662627696991,0.0036770831793546677,dark,False
42070,evaluation,homogeneous_dark,full,0.039082661271095276,0.019587218761444092,0.0005520833074115217,dark,True
42070,evaluation,homogeneous_dark,top_left,0.03803817927837372,0.006296053528785706,0.0,dark,True
42070,evaluation,homogeneous_dark,top_right,0.03174595534801483,0.021350547671318054,2.0833333110203966e-05,dark,True
42070,evaluation,homogeneous_dark,bottom_left,0.014902487397193909,-0.003741338849067688,0.0014062499394640326,dark,False
42070,evaluation,homogeneous_dark,bottom_right,0.009665057063102722,-0.010640144348144531,0.0007812500116415322,dark,False
42070,evaluation,homogeneous_bright,full,0.01096983253955841,0.01319161057472229,0.32488542795181274,bright,False
42070,evaluation,homogeneous_bright,top_left,0.012327954173088074,0.016221612691879272,0.3245208263397217,bright,False
42070,evaluation,homogeneous_bright,top_right,0.024445265531539917,0.03876599669456482,0.43681249022483826,bright,True
42070,evaluation,homogeneous_bright,bottom_left,0.004611492156982422,0.008233845233917236,0.15440624952316284,bright,False
42070,evaluation,homogeneous_bright,bottom_right,-0.0042846351861953735,-0.009882792830467224,0.3838020861148834,dark,False
42070,evaluation,left_right,full,0.013025760650634766,0.010105684399604797,0.20550520718097687,dark,False
42070,evaluation,left_right,top_left,0.03803817927837372,0.006296053528785706,0.0,dark,True
42070,evaluation,left_right,top_right,0.024445265531539917,0.03876599669456482,0.43681249022483826,bright,True
42070,evaluation,left_right,bottom_left,0.014902487397193909,-0.003741338849067688,0.0014062499394640326,dark,False
42070,evaluation,left_right,bottom_right,-0.0042846351861953735,-0.009882792830467224,0.3838020861148834,dark,False
42070,evaluation,quadrants,full,0.02111130952835083,0.003550127148628235,0.14800000190734863,dark,False
42070,evaluation,quadrants,top_left,0.03803817927837372,0.006296053528785706,0.0,dark,True
42070,evaluation,quadrants,top_right,0.024445265531539917,0.03876599669456482,0.43681249022483826,bright,True
42070,evaluation,quadrants,bottom_left,0.004611492156982422,0.008233845233917236,0.15440624952316284,bright,False
42070,evaluation,quadrants,bottom_right,0.009665057063102722,-0.010640144348144531,0.0007812500116415322,dark,False
42070,evaluation,smooth_gradient,full,0.015416860580444336,0.006129816174507141,0.1590416580438614,dark,False
42070,evaluation,smooth_gradient,top_left,0.027715876698493958,0.0062408000230789185,0.0,dark,True
42070,evaluation,smooth_gradient,top_right,0.02122841775417328,0.027480140328407288,0.39926040172576904,bright,False
42070,evaluation,smooth_gradient,bottom_left,0.011375486850738525,0.0041105300188064575,0.0014062499394640326,dark,False
42070,evaluation,smooth_gradient,bottom_right,-0.0042636096477508545,-0.011146977543830872,0.23549999296665192,dark,False
44260,evaluation,clean,full,-0.05938185751438141,-0.04000179469585419,6.49688172416063e-06,bright,False
44260,evaluation,clean,top_left,-0.036257997155189514,-0.02402050793170929,8.680555765749887e-06,bright,False
44260,evaluation,clean,top_right,-0.06220567226409912,-0.05174511671066284,0.0,bright,False
