image_id,condition,method,mse,psnr_db,recovery_ratio,clean_drift_mse,dark_region_mse,bright_region_mse,loss_before,loss_after,active_count,steps,stop_reason,ev_min,ev_max,gamma_min,gamma_max
3255,smooth_gradient,identity,0.02911902591586113,15.358231570527526,0.0,,,,-0.0,-0.0,0,0,identity,0.0,0.0,1.0,1.0
3255,smooth_gradient,global_direct,0.02911902591586113,15.358231570527526,0.0,,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3255,smooth_gradient,spatial2_direct,0.02911902591586113,15.358231570527526,0.0,,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3255,smooth_gradient,global_discrete,0.02911902591586113,15.358231570527526,0.0,,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3255,smooth_gradient,spatial2_discrete,0.02911902591586113,15.358231570527526,0.0,,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3255,smooth_gradient,global_ttt,0.02911902591586113,15.358231570527526,0.0,,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3255,smooth_gradient,spatial2_ttt,0.02911902591586113,15.358231570527526,0.0,,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3501,clean,identity,0.0,,,0.0,,,-0.0,-0.0,0,0,identity,0.0,0.0,1.0,1.0
3501,clean,global_direct,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3501,clean,spatial2_direct,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3501,clean,global_discrete,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3501,clean,spatial2_discrete,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3501,clean,global_ttt,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3501,clean,spatial2_ttt,0.0,,,0.0,,,-0.0,-0.0,0,0,no_active,0.0,0.0,1.0,1.0
3501,homogeneous_dark,identity,0.10336941480636597,9.85607942341977,0.0,,,,3.4792094439998875,3.4792094439998875,2,0,identity,0.0,0.0,1.0,1.0
3501,homogeneous_dark,global_direct,0.07384226471185684,11.316949921449313,0.2856468729151662,,,,3.4792094439998875,1.7970938514271935,2,0,fixed_direct,0.2500000298023224,0.2500000298023224,1.0,1.0
3501,homogeneous_dark,spatial2_direct,0.07000496238470078,11.548711734156555,0.32276909455436387,,,,3.4792094439998875,0.7163032030353392,2,0,fixed_direct,0.0,0.5,1.0,1.0
3501,homogeneous_dark,global_discrete,0.003417177125811577,24.663325094163735,0.9669420869585775,,,,3.4792094439998875,0.0,2,0,one_coordinate_pass,0.9999999403953552,0.9999999403953552,1.0,1.0
3501,homogeneous_dark,spatial2_discrete,0.010370606556534767,19.841958418315684,0.8996743226614833,,,,3.4792094439998875,0.0,2,0,one_coordinate_pass,0.5,0.9999999403953552,0.8000000715255737,1.0
3501,homogeneous_dark,global_ttt,0.011606771498918533,19.352885653769277,0.8877156118116697,,,,3.4792094439998875,0.0,2,14,clean_envelope,0.7019519805908203,0.7019519805908203,0.7964082360267639,0.7964082360267639
3501,homogeneous_dark,spatial2_ttt,0.012225201353430748,19.127439791602733,0.8817328957861348,,,,3.4792094439998875,0.0,2,14,clean_envelope,0.6533797383308411,0.728851854801178,0.7874634861946106,0.8097279667854309
3501,homogeneous_bright,identity,0.03387504443526268,14.701201264355682,0.0,,,,10.273097321565302,10.273097321565302,4,0,identity,0.0,0.0,1.0,1.0
3501,homogeneous_bright,global_direct,0.012545439414680004,19.015141225495565,0.6296554108244752,,,,10.273097321565302,1.387723937487139,4,0,fixed_direct,-0.5,-0.5,1.0,1.0
3501,homogeneous_bright,spatial2_direct,0.012545439414680004,19.015141225495565,0.6296554108244752,,,,10.273097321565302,1.387723937487139,4,0,fixed_direct,-0.5,-0.5,1.0,1.0
3501,homogeneous_bright,global_discrete,0.013805422931909561,18.599502841220723,0.5924603742352992,,,,10.273097321565302,0.9906180312423722,4,0,one_coordinate_pass,-0.5,-0.5,0.8000000715255737,0.8000000715255737
3501,homogeneous_bright,spatial2_discrete,0.02311977557837963,16.360163858892417,0.3174982951664326,,,,10.273097321565302,1.5707253240064356,4,0,one_coordinate_pass,-0.9999999403953552,-0.5,0.8000000715255737,1.25
3501,homogeneous_bright,global_ttt,0.02192739024758339,16.590130540734354,0.3526978159545149,,,,10.273097321565302,0.8858695839228278,4,40,max_updates,-0.4830288290977478,-0.4830288290977478,0.666570782661438,0.666570782661438
3501,homogeneous_bright,spatial2_ttt,0.018390880897641182,17.353974681614723,0.4570964790086903,,,,10.273097321565302,0.718139646475139,4,40,max_updates,-0.6104719638824463,-0.3576045036315918,0.6521655917167664,0.9897712469100952
3501,left_right,identity,0.05823305621743202,12.348304164257954,0.0,,0.08889906853437424,0.027567056939005852,10.548756177865547,10.548756177865547,2,0,identity,0.0,0.0,1.0,1.0
3501,left_right,global_direct,0.06214875355362892,12.06567577082019,-0.06724183119595128,,0.11355052888393402,0.010746981017291546,10.548756177865547,1.1859364231319858,2,0,fixed_direct,-0.2500000298023224,-0.2500000298023224,1.0,1.0
3501,left_right,spatial2_direct,0.05740977078676224,12.410141870854039,0.0141377678615352,,0.09741634875535965,0.017403196543455124,10.548756177865547,1.6608190956690478,2,0,fixed_direct,-0.5,0.0,1.0,1.0
3501,left_right,global_discrete,0.05628469958901405,12.496096475492147,0.033457914713305614,,0.0953819751739502,0.017187437042593956,10.548756177865547,1.358477961295119,2,0,one_coordinate_pass,-0.5,-0.5,0.8000000715255737,0.8000000715255737
