image_id,condition,method_a,method_b,mse_a_minus_b
1353,quadrants,spatial2_discrete,spatial2_ttt,0.03290200233459473
1353,quadrants,global_ttt,spatial2_ttt,0.0010173842310905457
1353,smooth_gradient,identity,global_direct,0.0
1353,smooth_gradient,identity,spatial2_direct,0.0
1353,smooth_gradient,identity,global_discrete,0.0
1353,smooth_gradient,identity,spatial2_discrete,0.0
1353,smooth_gradient,identity,global_ttt,0.0
1353,smooth_gradient,identity,spatial2_ttt,0.0
1353,smooth_gradient,global_direct,spatial2_direct,0.0
1353,smooth_gradient,global_direct,global_discrete,0.0
1353,smooth_gradient,global_direct,spatial2_discrete,0.0
1353,smooth_gradient,global_direct,global_ttt,0.0
1353,smooth_gradient,global_direct,spatial2_ttt,0.0
1353,smooth_gradient,spatial2_direct,global_discrete,0.0
1353,smooth_gradient,spatial2_direct,spatial2_discrete,0.0
1353,smooth_gradient,spatial2_direct,global_ttt,0.0
1353,smooth_gradient,spatial2_direct,spatial2_ttt,0.0
1353,smooth_gradient,global_discrete,spatial2_discrete,0.0
1353,smooth_gradient,global_discrete,global_ttt,0.0
1353,smooth_gradient,global_discrete,spatial2_ttt,0.0
1353,smooth_gradient,spatial2_discrete,global_ttt,0.0
1353,smooth_gradient,spatial2_discrete,spatial2_ttt,0.0
1353,smooth_gradient,global_ttt,spatial2_ttt,0.0
1425,clean,identity,global_direct,0.0
1425,clean,identity,spatial2_direct,0.0
1425,clean,identity,global_discrete,0.0
1425,clean,identity,spatial2_discrete,0.0
1425,clean,identity,global_ttt,0.0
1425,clean,identity,spatial2_ttt,0.0
1425,clean,global_direct,spatial2_direct,0.0
1425,clean,global_direct,global_discrete,0.0
1425,clean,global_direct,spatial2_discrete,0.0
1425,clean,global_direct,global_ttt,0.0
1425,clean,global_direct,spatial2_ttt,0.0
1425,clean,spatial2_direct,global_discrete,0.0
1425,clean,spatial2_direct,spatial2_discrete,0.0
1425,clean,spatial2_direct,global_ttt,0.0
1425,clean,spatial2_direct,spatial2_ttt,0.0
1425,clean,global_discrete,spatial2_discrete,0.0
1425,clean,global_discrete,global_ttt,0.0
1425,clean,global_discrete,spatial2_ttt,0.0
1425,clean,spatial2_discrete,global_ttt,0.0
1425,clean,spatial2_discrete,spatial2_ttt,0.0
1425,clean,global_ttt,spatial2_ttt,0.0
1425,homogeneous_bright,identity,global_direct,0.030703814700245857
1425,homogeneous_bright,identity,spatial2_direct,0.020301353186368942
1425,homogeneous_bright,identity,global_discrete,0.030893231742084026
1425,homogeneous_bright,identity,spatial2_discrete,0.02219531498849392
1425,homogeneous_bright,identity,global_ttt,0.027970452792942524
1425,homogeneous_bright,identity,spatial2_ttt,0.0267897080630064
1425,homogeneous_bright,global_direct,spatial2_direct,-0.010402461513876915
