index,low,delta_psnr,delta_ssim,selected_step,selected_ev_active_lower_count,selected_ev_active_lower_denominator,selected_ev_active_upper_count,selected_ev_active_upper_denominator,selected_ev_active_either_count,selected_ev_active_either_denominator,selected_ev_inactive_lower_count,selected_ev_inactive_lower_denominator,selected_ev_inactive_upper_count,selected_ev_inactive_upper_denominator,selected_ev_inactive_either_count,selected_ev_inactive_either_denominator,selected_gamma_active_lower_count,selected_gamma_active_lower_denominator,selected_gamma_active_upper_count,selected_gamma_active_upper_denominator,selected_gamma_active_either_count,selected_gamma_active_either_denominator,selected_gamma_inactive_lower_count,selected_gamma_inactive_lower_denominator,selected_gamma_inactive_upper_count,selected_gamma_inactive_upper_denominator,selected_gamma_inactive_either_count,selected_gamma_inactive_either_denominator,final_ev_active_lower_count,final_ev_active_lower_denominator,final_ev_active_upper_count,final_ev_active_upper_denominator,final_ev_active_either_count,final_ev_active_either_denominator,final_ev_inactive_lower_count,final_ev_inactive_lower_denominator,final_ev_inactive_upper_count,final_ev_inactive_upper_denominator,final_ev_inactive_either_count,final_ev_inactive_either_denominator,final_gamma_active_lower_count,final_gamma_active_lower_denominator,final_gamma_active_upper_count,final_gamma_active_upper_denominator,final_gamma_active_either_count,final_gamma_active_either_denominator,final_gamma_inactive_lower_count,final_gamma_inactive_lower_denominator,final_gamma_inactive_upper_count,final_gamma_inactive_upper_denominator,final_gamma_inactive_either_count,final_gamma_inactive_either_denominator
26,Train/Low/low00564.png,2.009653388894911,0.04383585002251872,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
27,Train/Low/low00440.png,-7.834677262508194e-08,-8.49114001333362e-10,35,1,4,0,4,1,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0
28,Train/Low/low00584.png,1.4759239588465274,0.06407500864937671,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
29,Train/Low/low00529.png,1.0817810594162225,0.1293361185999457,40,2,4,0,4,2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,2,4,0,4,2,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
30,Train/Low/low00213.png,1.327193211619365,0.08917229029253781,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
31,Train/Low/low00019.png,0.41463209609891916,0.04000716804892071,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
32,Train/Low/low00004.png,0.6271295561742392,0.04083894854408049,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
33,Train/Low/low00449.png,-0.18496053616081554,-0.006096033063324041,40,2,4,0,4,2,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0,2,4,0,4,2,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0
34,Train/Low/low00040.png,2.3512517958622787,0.07323236123324106,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
35,Train/Low/low00465.png,0.02106253713526307,-0.0020582416776281642,34,1,4,0,4,1,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0
36,Train/Low/low00293.png,0.06430033711500727,-0.0001522481146407073,40,1,4,1,4,2,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0,1,4,1,4,2,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0
37,Train/Low/low00563.png,2.121776340446356,0.01996413892659543,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
