index,low,baseline_selected_step,common_selected_step,baseline_selected_psnr,common_selected_psnr,common_reference_best_psnr_step,common_reference_best_psnr,psnr_headroom,prior_psnr_loss,earlier_psnr_reaches_baseline,earliest_psnr_rescue_step,baseline_selected_ssim,common_selected_ssim,common_reference_best_ssim_step,common_reference_best_ssim,ssim_headroom,prior_ssim_loss,earlier_ssim_reaches_baseline,earliest_ssim_rescue_step
75,Train/Low/low00125.png,40,40,8.372760576564772,10.808351004943704,40,10.808351004943704,0.0,False,True,17,0.4527234683928434,0.4911003213504075,40,0.4911003213504075,0.0,False,True,18
76,Train/Low/low00312.png,40,40,11.638053949835776,11.169447009687305,21,11.355912113511941,0.1864651038246361,True,False,,0.1733843308056857,0.1697709782275331,3,0.1849583637612998,0.015187385533766695,True,True,0
77,Train/Low/low00111.png,40,40,10.986059857982092,14.81747322008902,32,15.06580912387199,0.24833590378296932,False,True,17,0.625918363533314,0.6474127973377715,40,0.6474127973377715,0.0,False,True,20
78,Train/Low/low00644.png,40,40,20.42923625351108,14.960321959518371,12,22.61906919367695,7.658747234158579,True,True,10,0.9212847528077578,0.8634038682439024,12,0.9428805632213318,0.07947669497742949,True,True,8
79,Train/Low/low00458.png,40,40,7.894260527888251,7.857787850684767,0,8.303283118684725,0.44549526799995753,True,True,0,0.08847219736341913,0.07881386908380804,0,0.0997006962896963,0.02088682720588826,True,True,0
80,Train/Low/low00435.png,40,40,9.741853064182537,9.106966338340541,31,9.170714717148737,0.06374837880819584,True,False,,0.09169364085822106,0.10487014708081076,0,0.11683924548966736,0.011969098408856599,False,True,0
81,Train/Low/low00340.png,38,40,7.246521965953474,7.517477013984394,37,7.523766458284957,0.006289444300563218,False,True,19,0.1003514489490856,0.0939715151535453,10,0.10044811723898496,0.006476602085439653,True,True,10
82,Train/Low/low00428.png,40,40,10.151644857128751,9.882316656475185,40,9.882316656475185,0.0,True,False,,0.1110397208486839,0.11612900305535734,1,0.1199659211739089,0.003836918118551566,False,True,0
83,Train/Low/low00671.png,40,40,12.183219182277902,15.13542945283736,40,15.13542945283736,0.0,False,True,18,0.42141568034552024,0.5133149757098795,33,0.5157198970138002,0.0024049213039206707,False,True,19
84,Train/Low/low00286.png,40,40,9.35478712067033,9.19486668680668,26,9.405540002618466,0.2106733158117855,True,True,22,0.09552922575174407,0.10300972195832421,40,0.10300972195832421,0.0,False,True,0
85,Train/Low/low00394.png,40,40,7.992565592539627,7.525567090407242,0,8.724818415396587,1.199251324989345,True,True,0,0.12589928315466845,0.11226350132407809,0,0.1398774037403104,0.027613902416232322,True,True,0
86,Train/Low/low00635.png,40,40,5.459903604431904,6.199009286399184,40,6.199009286399184,0.0,False,True,29,0.17202258150027508,0.18501286260632782,40,0.18501286260632782,0.0,False,True,33
87,Train/Low/low00211.png,40,40,5.0043264338758515,5.170102774371958,28,5.236143237603988,0.06604046323203061,False,True,21,0.13848862284852873,0.14143970656195717,26,0.14471851930397717,0.003278812742019993,False,True,22
88,Train/Low/low00171.png,40,40,10.371243502995839,12.690578983880405,37,12.726894956749653,0.03631597286924837,False,True,17,0.41898296106493094,0.4158047477808746,29,0.4280733593814546,0.01226861160057996,True,True,20
89,Train/Low/low00496.png,40,40,9.794040297196059,10.305212280680438,24,10.735251595300774,0.43003931462033584,False,True,16,0.47722681547478124,0.48877716124793813,24,0.5196156226746457,0.030838461426707542,False,True,17
90,Train/Low/low00437.png,40,40,9.599141596056002,9.436578749108586,33,9.475493095589272,0.038914346480686035,True,False,,0.10777494597356364,0.10211463062913505,2,0.11696319624170284,0.014848565612567796,True,True,0
91,Train/Low/low00580.png,40,40,17.217342722005796,16.05295326420469,23,20.417013996067478,4.364060731862789,True,True,18,0.6781373546964704,0.600791995010117,18,0.6629317441803322,0.06213974917021514,True,False,
92,Train/Low/low00600.png,40,40,13.41609015421775,17.6068081879269,33,17.75224538724584,0.14543719931893762,False,True,20,0.5827031616586129,0.5600127815321839,26,0.5638204947784932,0.003807713246309241,True,False,
93,Train/Low/low00267.png,40,40,11.93980796520851,13.445630444130842,29,14.139545757895132,0.6939153137642897,False,True,18,0.49295135517378486,0.5322975766116202,29,0.5478187376218807,0.015521161010260465,False,True,18
94,Train/Low/low00652.png,40,40,8.847868538471689,9.302931917225925,29,9.372701076565313,0.06976915933938876,False,True,16,0.16067548343371496,0.1827880492293555,33,0.18600395284748447,0.0032159036181289846,False,True,18
95,Train/Low/low00678.png,40,40,10.93587785844814,13.72630366848485,36,13.746281983603437,0.019978315118587275,False,True,17,0.4611781471091196,0.49529325358595694,28,0.5058420642396578,0.01054881065370089,False,True,18
96,Train/Low/low00070.png,40,40,10.721023336341524,12.804538673487668,31,13.26280596277131,0.4582672892836417,False,True,19,0.5728301853770168,0.5841092247637479,29,0.5939446294272146,0.009835404663466663,False,True,22
97,Train/Low/low00366.png,39,40,9.099255054042965,8.904813383935048,0,9.479732017942537,0.5749186340074885,True,True,0,0.13682832021685015,0.12936624339308891,3,0.1377514550590028,0.008385211665913883,True,True,2
98,Train/Low/low00145.png,40,40,16.791683632409946,18.595278701401924,25,24.36803187047367,5.772753169071745,False,True,16,0.765337839218132,0.7347317808472618,20,0.7737868859389705,0.03905510509170873,True,True,17
99,Train/Low/low00472.png,40,40,7.694572092327725,9.352652030797792,40,9.352652030797792,0.0,False,True,21,0.40299166015270765,0.4297025382925562,35,0.4302038779023147,0.0005013396097584555,False,True,24
