seed,family,condition,model,loss_before,loss_after,mse,psnr_db,left_mse,right_mse,top_left_mse,top_right_mse,bottom_left_mse,bottom_right_mse,input_output_drift_mse,identity_drift_mse,parameter_count,input_clipping_fraction,output_clipping_fraction,all_finite,field_variance_exposure_ev,field_variance_gamma,field_variance_wb_r,field_variance_wb_g,field_variance_wb_b,field_variance_contrast,lambda_a,lambda_s,gradient_norm_last_update,gradient_norm_max,correction_grid_tv,prior_before,prior_after,anchor_before,anchor_after,smooth_before,smooth_after,normalized_grid_variance_exposure_ev,normalized_grid_variance_gamma,normalized_grid_variance_wb_r,normalized_grid_variance_wb_g,normalized_grid_variance_wb_b,normalized_grid_variance_contrast
7,midtone,clean,a0.1_s0.1,3.8747643316128233e-07,0.0009427924524061382,6.038493665982969e-06,52.190713849120804,6.612222932744771e-06,5.464768037199974e-06,1.0059378837468103e-05,7.113814717740752e-06,3.1650642995373346e-06,3.815717718680389e-06,6.038493665982969e-06,6.038493665982969e-06,96,0.0,0.0,True,3.4478842142149436e-05,3.2975804558699074e-06,4.138176649726191e-06,5.369967016400615e-06,2.992716058628783e-06,4.923445810958052e-06,0.1,0.1,0.03148124739527702,0.03533438593149185,0.009354718029499054,3.8747643316128233e-07,5.740630513173528e-06,0.0,1.5800504115759395e-05,0.0,0.009354718029499054,1.597737721430095e-05,1.1977615069611564e-05,1.815096574692694e-05,2.0730962798198873e-05,1.1589389015248859e-05,1.6172346637529448e-05
7,midtone,clean,a1_s0.1,3.8747643316128233e-07,0.0007572202011942863,2.597661477921065e-06,55.854174459689304,1.00557224413933e-06,4.1897492337739095e-06,1.0005304602600518e-06,7.129223376978189e-06,1.010613686958095e-06,1.25028009279049e-06,2.597661477921065e-06,2.597661477921065e-06,96,0.0,0.0,True,9.999883483231774e-06,3.0781267496664084e-06,2.391025844102196e-06,2.0310536586670263e-06,3.7187944528320626e-06,1.5628336787059078e-06,1.0,0.1,0.0328725129365921,0.036423392593860626,0.007449961267411709,3.8747643316128233e-07,2.6979143967764685e-06,0.0,9.526145731797442e-06,0.0,0.007449961267411709,5.464080183554375e-06,1.1766086206421718e-05,1.0472922708816794e-05,8.224515315974186e-06,1.4140939275018325e-05,6.868337997802463e-06
7,midtone,clean,a1_s1,3.8747643316128233e-07,0.009406423196196556,8.240927854785696e-06,50.840238878747755,8.928872375690844e-06,7.552988790848758e-06,9.206780305248685e-06,6.679704711132217e-06,8.650957170175388e-06,8.426271051575895e-06,8.240927854785696e-06,8.240927854785696e-06,96,0.0,0.0,True,5.0571082571922126e-05,7.720007962231976e-06,4.3811768666766525e-06,2.127886859201284e-06,1.8693346621467025e-06,2.6960497916822935e-06,1.0,1.0,0.3050224184989929,0.3443421721458435,0.009382298216223717,3.8747643316128233e-07,8.087025889835786e-06,0.0,1.6037922250689007e-05,0.0,0.009382298216223717,1.9616269024341087e-05,2.9063011911216296e-05,1.660125694718747e-05,1.0766369356507575e-05,8.915072745259632e-06,1.0866437056850733e-05
7,midtone,homogeneous_dark,identity,0.07562145590782166,0.07562145590782166,0.07758688926696777,11.102116601859535,0.07760515809059143,0.07756856083869934,0.07757063210010529,0.07759546488523483,0.07763979583978653,0.07754168659448624,0.0,,0,0.0,0.0,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,0.0,0.0,0.0,0.0,0.0,0.07562145590782166,0.07562145590782166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,homogeneous_dark,global,0.07562145590782166,1.2949816152740823e-07,0.0011350276181474328,29.449935708381698,0.0011350719723850489,0.0011349829146638513,0.001133900717832148,0.0011341623030602932,0.0011362432269379497,0.0011358042247593403,0.07573672384023666,,6,0.0,0.0,True,2.0737022900307783e-16,3.615178046117679e-16,8.718788686671917e-16,9.842251794533637e-16,8.946561516343696e-16,1.988302550665391e-16,0.0,0.0,4.8017741391959134e-06,0.24281208217144012,0.0,0.07562145590782166,1.2949816152740823e-07,0.0,0.10002303123474121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,homogeneous_dark,a0_s0,0.07562145590782166,1.0931648830592167e-07,0.001135130412876606,29.449542403747664,0.0011374938767403364,0.0011327675310894847,0.0011364617384970188,0.0011327206157147884,0.0011385256657376885,0.0011328139808028936,0.07573676109313965,,96,0.0,0.0,True,8.799311551188358e-08,7.393453127511666e-09,1.635949191707509e-07,1.3958801355883365e-07,1.5134123410188034e-07,3.4830867419530037e-07,0.0,0.0,1.2016297432637657e-06,0.060704171657562256,0.0014503097627311945,0.07562145590782166,1.0931648830592167e-07,0.0,0.1000247374176979,0.0,0.0014503097627311945,3.5836205638376346e-08,3.623789400497775e-08,7.138193724859401e-07,3.9269441767450143e-07,6.946871731992964e-07,1.6234264260638164e-06
7,midtone,homogeneous_dark,a0.01_s0,0.07562145590782166,0.0005321756470948458,0.0005419534863904119,32.66037985547996,0.000538858468644321,0.0005450483877211809,0.0005365578690543771,0.0005439171218313277,0.0005411590100266039,0.0005461798282340169,0.07510536164045334,,96,0.0,0.0,True,1.5766606527001825e-07,6.684886707754968e-08,1.925227598779711e-07,2.1836068467975757e-07,2.3598611675664498e-07,1.6610764444266138e-06,0.01,0.0,0.00018389528850093484,0.060704171657562256,0.0016205853316932917,0.07562145590782166,3.2304899377777474e-06,0.0,0.05289451777935028,0.0,0.0016205853316932917,6.236301569595585e-08,2.7044037883770476e-07,6.596277065255036e-07,5.783645438300114e-07,7.653237641470155e-07,5.334127636893297e-06
7,midtone,homogeneous_dark,a0.1_s0,0.07562145590782166,0.004307896364480257,0.00029497500509023666,35.3021478270415,0.00029241887386888266,0.0002975312527269125,0.0002884097630158067,0.00029822689248248935,0.0002964279556181282,0.0002968355256598443,0.0700158104300499,,96,0.0,0.0,True,1.7755588213513478e-06,6.588678552721458e-07,2.804245149301086e-08,3.7398010966262316e-08,2.7800681503484966e-08,1.1816165882839336e-06,0.1,0.0,2.2440026441472583e-06,0.060704171657562256,0.0012545955833047628,0.07562145590782166,0.0001534530019853264,0.0,0.04154443368315697,0.0,0.0012545955833047628,5.632456370162352e-07,2.1123388657942335e-06,1.1309280413345394e-07,1.2031334956238207e-07,1.1954993788584097e-07,2.981484872331525e-06
7,midtone,homogeneous_dark,a1_s0,0.07562145590782166,0.031232506036758423,0.011411125771701336,19.42671507876281,0.0113439429551363,0.011478304862976074,0.011306408792734146,0.011466260999441147,0.0113814827054739,0.011490345932543278,0.029680868610739708,,96,0.0,0.0,True,7.0202625686233325e-06,1.0050448519967621e-07,2.6849464378503657e-08,2.7965370568058015e-08,2.9171353594336166e-08,8.484067752652102e-07,1.0,0.0,7.002543043199694e-07,0.060704171657562256,0.0009059554431587458,0.07562145590782166,0.010764661245048046,0.0,0.02046784572303295,0.0,0.0009059554431587458,2.1475330775032314e-06,2.9827305972254305e-07,6.434390890388319e-08,6.730375193947905e-08,7.009429704891962e-08,2.2185883316204143e-06
7,midtone,homogeneous_dark,a10_s0,0.07562145590782166,0.06753832846879959,0.061895549297332764,12.083405785259574,0.06187189370393753,0.06191917881369591,0.06182974576950073,0.061930324882268906,0.06191407889127731,0.0619080476462841,0.0008911962504498661,,96,0.0,0.0,True,4.480049810346928e-07,1.8374527318662934e-09,1.6164076818409798e-09,1.6135418793932476e-09,1.6208385728360733e-09,1.675173030831515e-08,10.0,0.0,1.307093270952464e-06,0.060704171657562256,0.00016589797451160848,0.07562145590782166,0.06014512479305267,0.0,0.0007393204723484814,0.0,0.00016589797451160848,1.3429877978449142e-07,4.864107636148298e-09,3.98883077083535e-09,3.979069430011168e-09,3.995960230103384e-09,4.288687521692607e-08
