seed,family,condition,model,loss_before,loss_after,mse,psnr_db,left_mse,right_mse,top_left_mse,top_right_mse,bottom_left_mse,bottom_right_mse,input_output_drift_mse,identity_drift_mse,parameter_count,input_clipping_fraction,output_clipping_fraction,all_finite,field_variance_exposure_ev,field_variance_gamma,field_variance_wb_r,field_variance_wb_g,field_variance_wb_b,field_variance_contrast
7,high_key,quadrants,spatial4,0.13820627331733704,0.001034009619615972,0.06617269665002823,11.793211667563806,0.06615222990512848,0.06619313359260559,0.07164690643548965,0.06030675396323204,0.06065762788057327,0.07207954674959183,0.13190191984176636,,96,0.5,0.0,True,0.19000100751942203,0.010216575613610874,0.014493561860120687,0.014491678609114123,0.014502496466258027,0.001752492902912368
7,high_key,quadrants,spatial8,0.13820627331733704,0.00014306242519523948,0.0657740980386734,11.819450986890526,0.06577802449464798,0.06577016413211823,0.06541300565004349,0.06532075256109238,0.06614307314157486,0.06621956825256348,0.13934069871902466,,384,0.5,0.0,True,0.2116789173410223,0.011305682878587466,0.0224380560679764,0.022431168338454485,0.02244819462143217,0.0011797047164448379
7,high_key,smooth_gradient,identity,0.10051414370536804,0.10051414370536804,0.04787910729646683,13.198539555887827,0.05865469202399254,0.037103526294231415,0.05864051356911659,0.03708843141794205,0.058668870478868484,0.03711862489581108,0.0,,0,0.1952039897441864,0.1952039897441864,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17
7,high_key,smooth_gradient,global,0.10051415115594864,0.002238342771306634,0.06975419074296951,11.564296954110171,0.09101602435112,0.04849237576127052,0.09098557382822037,0.048510365188121796,0.09104646742343903,0.04847437143325806,0.0863913968205452,,6,0.1952039897441864,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,smooth_gradient,uniform96,0.10051415115594864,0.0022383551113307476,0.0697542130947113,11.56429556247528,0.09101606905460358,0.04849235713481903,0.09098561853170395,0.0485103502869606,0.0910465195775032,0.04847435653209686,0.08639136701822281,,96,0.1952039897441864,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,smooth_gradient,spatial1,0.10051415115594864,0.002238342771306634,0.06975419074296951,11.564296954110171,0.09101602435112,0.04849237576127052,0.09098557382822037,0.048510365188121796,0.09104646742343903,0.04847437143325806,0.0863913968205452,,6,0.1952039897441864,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,smooth_gradient,spatial2,0.10051415115594864,0.00023912421602290124,0.06415770202875137,11.92751199806585,0.06404704600572586,0.06426838040351868,0.06402040272951126,0.06428825110197067,0.06407365202903748,0.06424852460622787,0.09970084577798843,,24,0.1952039897441864,0.0,True,0.008983964092910957,0.04358445742209649,0.0022915761500378056,0.002282021876300141,0.002282068687465553,0.004471425050024326
7,high_key,smooth_gradient,spatial4,0.10051415115594864,4.0235445339931175e-05,0.0634094774723053,11.97845825614954,0.0633910596370697,0.06342790275812149,0.06336404383182526,0.0634501501917839,0.06341806799173355,0.0634056031703949,0.10055428743362427,,96,0.1952039897441864,0.0,True,0.03503753418684507,0.020985580370029386,0.005274134365953823,0.005263150700956118,0.0052646429451991645,0.005030051548223927
7,high_key,smooth_gradient,spatial8,0.10051415115594864,9.067193218470493e-07,0.06319955736398697,11.99285963411462,0.06306484341621399,0.06333427131175995,0.06303688883781433,0.06335792690515518,0.06309285014867783,0.06331059336662292,0.10074076056480408,,384,0.1952039897441864,0.0,True,0.09545027821842304,0.003732085207496735,0.008749679319181596,0.008735373446726435,0.00874058339043762,0.0008576693731155446
7,high_key,stripes_4,identity,0.10240495204925537,0.10240495204925537,0.1221826896071434,9.129903189757863,0.12218014150857925,0.12218526005744934,0.12216401100158691,0.12217529863119125,0.12219627946615219,0.12219516187906265,0.0,,0,0.5,0.5,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17
7,high_key,stripes_4,global,0.10240492969751358,0.003613967914134264,0.07706969231367111,11.131163748500047,0.07708395272493362,0.0770554468035698,0.07705310732126236,0.07707535475492477,0.07711482048034668,0.07703550159931183,0.10034134984016418,,6,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,stripes_4,uniform96,0.10240492969751358,0.0036139748990535736,0.0770697295665741,11.131161649266765,0.07708396762609482,0.07705546170473099,0.07705312967300415,0.07707539945840836,0.07711484283208847,0.07703552395105362,0.10034133493900299,,96,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,stripes_4,spatial1,0.10240492969751358,0.003613967914134264,0.07706969231367111,11.131163748500047,0.07708395272493362,0.0770554468035698,0.07705310732126236,0.07707535475492477,0.07711482048034668,0.07703550159931183,0.10034134984016418,,6,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,stripes_4,spatial2,0.10240492969751358,0.0035509997978806496,0.07685824483633041,11.143095374699016,0.07282767444849014,0.0808887779712677,0.07279381901025772,0.08090729266405106,0.07286160439252853,0.08087023347616196,0.10083869099617004,,24,0.5,0.0,True,0.002063719769912419,2.442904461083013e-06,0.00020698223854387018,0.00020700742429896843,0.00020714731287207173,3.405940273074766e-05
