image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,plus_d_dark,plus_d_bright,minus_d_dark,minus_d_bright,r_dark,r_bright,plus_clipping_fraction,minus_clipping_fraction,type,active,target,absolute_type,absolute_active
116479,evaluation,left_right,full,-0.010638132691383362,-0.017378896474838257,0.0501171313226223,-0.02087584137916565,-0.01720656454563141,-0.0035859793424606323,-0.017611578106880188,0.010237708687782288,0.00023268163204193115,0.09931810200214386,0.014181726612150669,dark,False,-0.02087584137916565,dark,False
116479,evaluation,left_right,top_left,0.03614562749862671,-0.017453625798225403,0.009923025034368038,0.031516700983047485,-0.01927720010280609,0.04037401080131531,-0.015518009662628174,0.004628926515579224,-0.001935616135597229,0.009923025034368038,0.009923025034368038,dark,False,0.031516700983047485,dark,True
116479,evaluation,left_right,top_right,0.012591645121574402,0.010300025343894958,0.07704149186611176,0.009818583726882935,0.017281830310821533,0.010942623019218445,0.009006097912788391,0.0027730613946914673,0.0012939274311065674,0.19148258864879608,0.01980421505868435,dark,False,0.009818583726882935,dark,False
116479,evaluation,left_right,bottom_left,0.041544899344444275,-0.010724067687988281,0.009086345322430134,0.03246419131755829,-0.013469889760017395,0.04975514113903046,-0.007988408207893372,0.009080708026885986,-0.0027356594800949097,0.009086345322430134,0.009086345322430134,dark,False,0.03246419131755829,dark,True
116479,evaluation,left_right,bottom_right,-0.01944275200366974,-0.0010478496551513672,0.10441766679286957,-0.031032949686050415,0.00137348473072052,-0.009859547019004822,0.002619639039039612,0.011590197682380676,-0.003667488694190979,0.18678045272827148,0.017913319170475006,dark,True,-0.031032949686050415,bright,False
116479,evaluation,quadrants,full,-0.004006236791610718,-0.009543389081954956,0.04368097335100174,-0.010132282972335815,-0.00636117160320282,0.010073795914649963,-0.013009756803512573,0.006126046180725098,0.003466367721557617,0.09777861088514328,0.014181726612150669,dark,False,-0.010132282972335815,dark,False
116479,evaluation,quadrants,top_left,0.03614562749862671,-0.017453625798225403,0.009923025034368038,0.031516700983047485,-0.01927720010280609,0.04037401080131531,-0.015518009662628174,0.004628926515579224,-0.001935616135597229,0.009923025034368038,0.009923025034368038,dark,False,0.031516700983047485,dark,True
116479,evaluation,quadrants,top_right,0.012591645121574402,0.010300025343894958,0.07704149186611176,0.009818583726882935,0.017281830310821533,0.010942623019218445,0.009006097912788391,0.0027730613946914673,0.0012939274311065674,0.19148258864879608,0.01980421505868435,dark,False,0.009818583726882935,dark,False
116479,evaluation,quadrants,bottom_left,-0.0128420889377594,-0.006434351205825806,0.06984604895114899,-0.014243051409721375,0.0012796521186828613,-0.009693354368209839,-0.01289483904838562,0.001400962471961975,0.0064604878425598145,0.17179550230503082,0.009086345322430134,bright,True,-0.01289483904838562,bright,False
116479,evaluation,quadrants,bottom_right,0.023275628685951233,-0.0052717626094818115,0.017913319170475006,0.018922746181488037,-0.00760321319103241,0.02763684093952179,-0.0038005858659744263,0.004352882504463196,-0.0014711767435073853,0.017913319170475006,0.017913319170475006,dark,False,0.018922746181488037,dark,False
